-122.2715999,37.8825646,1327,MILVIA ST,,BERKELEY,,,94709,060 245301400,e19c8b1eb2cf1f78
-122.2639252,37.8775321,2301,VIRGINIA ST,3,BERKELEY,,,94709,058 218704000,e5043811f9c6fb76
-122.2748518,37.864101,2418,GRANT ST,2,BERKELEY,,,94703,55-1906-35,78b4e8bb5e946042
-122.2875117,37.8682271,2110,BONAR ST,3,BERKELEY,,,94702,56-1989-7,e2bc289807ebd42a
-122.2720163,37.8586787,1826,WARD ST,,BERKELEY,,,94703,54-1726-26,525b6dc56d1d8fa9
-122.2661181,37.8698848,2150,OXFORD ST,35,BERKELEY,,,94704,57-2031-2,2b048ef841fbe830
-122.2643257,37.8568052,2146,RUSSELL ST,3,BERKELEY,,,94705,52-1582-3,77040b7e8e8fea18
-122.276148,37.8656943,2324,ROOSEVELT AVE,,BERKELEY,,,94703,055 190801100,0375d7520a46b078
-122.2728583,37.8487526,3244,ELLIS ST,B,BERKELEY,,,94703,52-1533-5,2ba2c8bcdea9dcf7
-122.259123,37.8872705,1200,KEITH AVE,,BERKELEY,,,94708,063 298805703,57a3ec973a5dc003
-122.2526209,37.8690127,2310,PIEDMONT AV,301,BERKELEY,,,94704,55-1870-1-2,07ce4bc211846d07
-122.284832,37.8693248,1351,ADDISON ST,,BERKELEY,,,94702,56-1995-8,692943da545991cc
-122.2721232,37.8812095,1414,MILVIA ST,,BERKELEY,,,94709,59-2266-6,7c21f648659ffac3
-122.2653736,37.8563312,2915,LORINA ST,,BERKELEY,,,94705,53-1588-19,85344bcff3f287ee
-122.2710245,37.8913314,833,SHATTUCK AV,,BERKELEY,,,94707,61-2584-6,02992362de3c3c14
-122.2717097,37.8646478,1911,HASTE ST,,BERKELEY,,,94704,055 189901200,b6f33d505576b610
-122.2863664,37.8608854,1217,BLAKE ST,,BERKELEY,,,94702,54-1782-10,6d2b2432cca37acc
-122.2686903,37.8801143,2112,VINE ST,,BERKELEY,,,94709,59-2260-2-1,98039df29a90d034
-122.2800251,37.8598989,2635,SACRAMENTO ST,A,BERKELEY,,,94702,54-1801-17,44ab93806f7bc356
